route,direction,hour,baseline_trips,opt_trips
1,0,0,5.0,10
1,0,1,3.0,8
1,0,2,3.0,8
1,0,3,3.0,8
1,0,4,3.0,8
1,0,5,3.0,8
1,0,6,7.0,12
1,0,7,9.0,14
1,0,8,16.0,24
1,0,9,16.0,24
1,0,10,12.0,18
1,0,11,11.0,16
1,0,12,10.0,15
1,0,13,10.0,15
1,0,14,10.0,15
1,0,15,11.0,16
1,0,16,13.0,19
1,0,17,15.0,22
1,0,18,15.0,22
1,0,19,15.0,22
1,0,20,13.0,19
1,0,21,12.0,18
1,0,22,10.0,15
1,0,23,6.0,11
1,1,0,3.0,8
1,1,1,3.0,8
1,1,2,3.0,8
1,1,3,3.0,8
1,1,4,4.0,9
1,1,5,7.0,12
1,1,6,9.0,14
1,1,7,15.0,22
1,1,8,16.0,24
1,1,9,13.0,19
1,1,10,11.0,16
1,1,11,10.0,15
1,1,12,10.0,15
1,1,13,10.0,15
1,1,14,11.0,16
1,1,15,12.0,18
1,1,16,15.0,22
1,1,17,15.0,22
1,1,18,15.0,22
1,1,19,14.0,21
1,1,20,12.0,18
1,1,21,9.0,14
1,1,22,6.0,11
1,1,23,5.0,10
2,0,0,4.0,9
2,0,1,3.0,8
2,0,2,3.0,8
2,0,3,3.0,8
2,0,4,3.0,8
2,0,5,4.0,9
2,0,6,6.0,11
2,0,7,10.0,15
2,0,8,9.0,14
2,0,9,9.0,14
2,0,10,7.0,12
2,0,11,8.0,13
2,0,12,7.0,12
2,0,13,7.0,12
2,0,14,8.0,13
2,0,15,9.0,14
2,0,16,10.0,15
2,0,17,8.0,13
2,0,18,9.0,14
2,0,19,9.0,14
2,0,20,9.0,14
2,0,21,7.0,12
2,0,22,6.0,11
2,0,23,4.0,9
2,1,0,3.0,8
2,1,1,3.0,8
2,1,2,3.0,8
2,1,3,3.0,8
2,1,4,4.0,9
2,1,5,6.0,11
2,1,6,11.0,16
2,1,7,11.0,16
2,1,8,9.0,14
2,1,9,8.0,13
2,1,10,7.0,12
2,1,11,8.0,13
2,1,12,7.0,12
2,1,13,8.0,13
2,1,14,7.0,12
2,1,15,8.0,13
2,1,16,10.0,15
2,1,17,9.0,14
2,1,18,8.0,13
2,1,19,8.0,13
2,1,20,6.0,11
2,1,21,5.0,10
2,1,22,6.0,11
2,1,23,4.0,9
3,0,0,3.0,8
3,0,1,3.0,8
3,0,2,3.0,7
3,0,3,3.0,7
3,0,4,3.0,8
3,0,5,5.0,10
3,0,6,7.0,12
3,0,7,8.0,13
3,0,8,8.0,13
3,0,9,8.0,13
3,0,10,7.0,12
3,0,11,8.0,13
3,0,12,7.0,12
3,0,13,8.0,13
3,0,14,7.0,12
3,0,15,9.0,14
3,0,16,9.0,14
3,0,17,10.0,15
3,0,18,7.0,12
3,0,19,9.0,14
3,0,20,7.0,12
3,0,21,7.0,12
3,0,22,3.0,8
3,0,23,2.0,7
3,1,0,3.0,8
3,1,1,3.0,8
3,1,2,3.0,7
3,1,3,3.0,7
3,1,4,3.0,8
3,1,5,7.0,12
3,1,6,6.0,11
3,1,7,10.0,15
3,1,8,9.0,14
3,1,9,9.0,14
3,1,10,7.0,12
3,1,11,8.0,13
3,1,12,7.0,12
3,1,13,8.0,13
3,1,14,7.0,12
3,1,15,8.0,13
3,1,16,8.0,13
3,1,17,8.0,13
3,1,18,9.0,14
3,1,19,8.0,13
3,1,20,6.0,11
3,1,21,5.0,10
3,1,22,3.0,8
3,1,23,3.0,8
4,0,0,4.0,9
4,0,1,3.0,8
4,0,2,3.0,7
4,0,3,3.0,8
4,0,4,3.0,8
4,0,5,7.0,12
4,0,6,6.0,11
4,0,7,13.0,19
4,0,8,11.0,16
4,0,9,11.0,16
4,0,10,8.0,13
4,0,11,7.0,12
4,0,12,8.0,13
4,0,13,7.0,12
4,0,14,8.0,13
4,0,15,11.0,16
4,0,16,11.0,16
4,0,17,12.0,18
4,0,18,9.0,14
4,0,19,10.0,15
4,0,20,10.0,15
4,0,21,7.0,12
4,0,22,8.0,13
4,0,23,4.0,9
4,1,0,4.0,9
4,1,1,3.0,8
4,1,2,3.0,7
4,1,3,3.0,8
4,1,4,5.0,10
4,1,5,9.0,14
4,1,6,10.0,15
4,1,7,14.0,21
4,1,8,10.0,15
4,1,9,8.0,13
4,1,10,7.0,12
4,1,11,8.0,13
4,1,12,8.0,13
4,1,13,8.0,13
4,1,14,8.0,13
4,1,15,11.0,16
4,1,16,14.0,21
4,1,17,9.0,14
4,1,18,10.0,15
4,1,19,9.0,14
4,1,20,8.0,13
4,1,21,6.0,11
4,1,22,5.0,10
4,1,23,4.0,9
5,0,0,3.0,8
5,0,1,3.0,8
5,0,2,3.0,7
5,0,3,3.0,8
5,0,4,3.0,8
5,0,5,4.0,9
5,0,6,10.0,15
5,0,7,10.0,15
5,0,8,12.0,18
5,0,9,9.0,14
5,0,10,9.0,14
5,0,11,8.0,13
5,0,12,7.0,12
5,0,13,8.0,13
5,0,14,7.0,12
5,0,15,8.0,13
5,0,16,11.0,16
5,0,17,12.0,18
5,0,18,10.0,15
5,0,19,7.0,12
5,0,20,4.0,9
5,0,21,6.0,11
5,0,22,2.0,7
5,0,23,4.0,9
5,1,0,3.0,8
5,1,1,3.0,8
5,1,2,3.0,7
5,1,3,3.0,8
5,1,4,4.0,9
5,1,5,8.0,13
5,1,6,13.0,19
5,1,7,13.0,19
5,1,8,8.0,13
5,1,9,8.0,13
5,1,10,8.0,13
5,1,11,7.0,12
5,1,12,7.0,12
5,1,13,8.0,13
5,1,14,8.0,13
5,1,15,11.0,16
5,1,16,13.0,19
5,1,17,7.0,12
5,1,18,7.0,12
5,1,19,5.0,10
5,1,20,6.0,11
5,1,21,5.0,10
5,1,22,4.0,9
5,1,23,3.0,8
6,0,0,6.0,11
6,0,1,4.0,9
6,0,2,3.0,8
6,0,3,3.0,8
6,0,4,3.0,8
6,0,5,4.0,9
6,0,6,8.0,13
6,0,7,14.0,21
6,0,8,19.0,28
6,0,9,18.0,27
6,0,10,15.0,22
6,0,11,15.0,22
6,0,12,11.0,16
6,0,13,7.0,12
6,0,14,8.0,13
6,0,15,7.0,12
6,0,16,9.0,14
6,0,17,7.0,12
6,0,18,8.0,13
6,0,19,8.0,13
6,0,20,10.0,15
6,0,21,12.0,18
6,0,22,8.0,13
6,0,23,6.0,11
6,1,0,4.0,9
6,1,1,3.0,8
6,1,2,3.0,8
6,1,3,3.0,8
6,1,4,4.0,9
6,1,5,8.0,13
6,1,6,7.0,12
6,1,7,8.0,13
6,1,8,9.0,14
6,1,9,9.0,14
6,1,10,7.0,12
6,1,11,8.0,13
6,1,12,13.0,19
6,1,13,16.0,24
6,1,14,14.0,21
6,1,15,18.0,27
6,1,16,18.0,27
6,1,17,16.0,24
6,1,18,14.0,21
6,1,19,13.0,19
6,1,20,11.0,16
6,1,21,8.0,13
6,1,22,6.0,11
6,1,23,6.0,11
6X,0,0,8.0,13
6X,0,1,8.0,9
6X,0,2,8.0,7
6X,0,3,8.0,8
6X,0,4,8.0,12
6X,0,5,8.0,13
6X,0,6,8.0,13
6X,0,7,8.0,13
6X,0,8,8.0,13
6X,0,9,8.0,13
6X,0,10,8.0,13
6X,0,11,8.0,13
6X,0,12,4.0,9
6X,0,13,8.0,13
6X,0,14,7.0,12
6X,0,15,8.0,13
6X,0,16,8.0,13
6X,0,17,11.0,16
6X,0,18,8.0,13
6X,0,19,7.0,12
6X,0,20,2.0,7
6X,0,21,8.0,13
6X,0,22,8.0,13
6X,0,23,8.0,13
6X,1,0,7.0,12
6X,1,1,7.0,9
6X,1,2,7.0,7
6X,1,3,7.0,8
6X,1,4,7.0,12
6X,1,5,7.0,12
6X,1,6,7.0,12
6X,1,7,11.0,16
6X,1,8,8.0,13
6X,1,9,7.0,12
6X,1,10,8.0,13
6X,1,11,7.0,12
6X,1,12,2.0,7
6X,1,13,7.0,12
6X,1,14,7.0,12
6X,1,15,7.0,12
6X,1,16,7.0,12
6X,1,17,7.0,12
6X,1,18,7.0,12
6X,1,19,7.0,12
6X,1,20,7.0,12
6X,1,21,7.0,12
6X,1,22,7.0,12
6X,1,23,7.0,12
7,0,0,6.0,11
7,0,1,4.0,9
7,0,2,3.0,8
7,0,3,3.0,8
7,0,4,3.0,8
7,0,5,5.0,10
7,0,6,18.0,27
7,0,7,25.0,37
7,0,8,28.0,42
7,0,9,16.0,24
7,0,10,12.0,18
7,0,11,12.0,18
7,0,12,12.0,18
7,0,13,12.0,18
7,0,14,10.0,15
7,0,15,8.0,13
7,0,16,10.0,15
7,0,17,13.0,19
7,0,18,9.0,14
7,0,19,10.0,15
7,0,20,7.0,12
7,0,21,9.0,14
7,0,22,12.0,18
7,0,23,9.0,14
7,1,0,3.0,8
7,1,1,3.0,8
7,1,2,3.0,8
7,1,3,3.0,8
7,1,4,5.0,10
7,1,5,9.0,14
7,1,6,13.0,19
7,1,7,14.0,21
7,1,8,12.0,18
7,1,9,8.0,13
7,1,10,12.0,18
7,1,11,12.0,18
7,1,12,12.0,18
7,1,13,12.0,18
7,1,14,12.0,18
7,1,15,15.0,22
7,1,16,22.0,33
7,1,17,24.0,36
7,1,18,19.0,28
7,1,19,17.0,25
7,1,20,17.0,25
7,1,21,12.0,18
7,1,22,11.0,16
7,1,23,9.0,14
7X,0,0,8.5,13
7X,0,1,8.5,9
7X,0,2,8.5,7
7X,0,3,8.5,8
7X,0,4,8.5,12
7X,0,5,8.5,13
7X,0,6,8.5,13
7X,0,7,8.5,13
7X,0,8,8.5,13
7X,0,9,8.5,13
7X,0,10,8.5,13
7X,0,11,8.5,13
7X,0,12,8.5,13
7X,0,13,8.5,13
7X,0,14,2.0,7
7X,0,15,7.0,12
7X,0,16,10.0,15
7X,0,17,13.0,19
7X,0,18,10.0,15
7X,0,19,9.0,14
7X,0,20,8.0,13
7X,0,21,6.0,11
7X,0,22,8.5,13
7X,0,23,8.5,13
7X,1,0,11.0,14
7X,1,1,11.0,9
7X,1,2,11.0,7
7X,1,3,11.0,8
7X,1,4,11.0,12
7X,1,5,11.0,16
7X,1,6,9.0,14
7X,1,7,13.0,19
7X,1,8,13.0,19
7X,1,9,7.0,12
7X,1,10,11.0,16
7X,1,11,11.0,16
7X,1,12,11.0,16
7X,1,13,11.0,16
7X,1,14,11.0,16
7X,1,15,11.0,16
7X,1,16,11.0,16
7X,1,17,11.0,16
7X,1,18,11.0,16
7X,1,19,11.0,16
7X,1,20,11.0,16
7X,1,21,11.0,16
7X,1,22,11.0,16
7X,1,23,11.0,16
A,0,0,7.0,12
A,0,1,6.0,11
A,0,2,6.0,9
A,0,3,6.0,9
A,0,4,6.0,11
A,0,5,6.0,11
A,0,6,11.0,16
A,0,7,15.0,22
A,0,8,12.0,18
A,0,9,7.0,12
A,0,10,9.0,14
A,0,11,6.0,11
A,0,12,8.0,13
A,0,13,8.0,13
A,0,14,8.0,13
A,0,15,10.0,15
A,0,16,9.0,14
A,0,17,8.0,13
A,0,18,8.0,13
A,0,19,8.0,13
A,0,20,7.0,12
A,0,21,8.0,13
A,0,22,5.0,10
A,0,23,4.0,9
A,1,0,3.0,8
A,1,1,6.0,11
A,1,2,6.0,9
A,1,3,6.0,9
A,1,4,6.0,11
A,1,5,7.0,12
A,1,6,11.0,16
A,1,7,9.0,14
A,1,8,10.0,15
A,1,9,10.0,15
A,1,10,7.0,12
A,1,11,8.0,13
A,1,12,7.0,12
A,1,13,8.0,13
A,1,14,8.0,13
A,1,15,8.0,13
A,1,16,14.0,21
A,1,17,13.0,19
A,1,18,11.0,16
A,1,19,9.0,14
A,1,20,7.0,12
A,1,21,5.0,10
A,1,22,7.0,12
A,1,23,5.0,10
B,0,0,7.0,12
B,0,1,7.0,9
B,0,2,7.0,7
B,0,3,7.0,7
B,0,4,7.0,12
B,0,5,1.0,6
B,0,6,7.0,12
B,0,7,9.0,14
B,0,8,8.0,13
B,0,9,7.0,12
B,0,10,8.0,13
B,0,11,7.0,12
B,0,12,8.0,13
B,0,13,7.0,12
B,0,14,8.0,13
B,0,15,7.0,12
B,0,16,7.0,12
B,0,17,6.0,11
B,0,18,6.0,11
B,0,19,6.0,11
B,0,20,6.0,11
B,0,21,2.0,7
B,0,22,7.0,12
B,0,23,7.0,12
B,1,0,7.0,12
B,1,1,7.0,9
B,1,2,7.0,7
B,1,3,7.0,7
B,1,4,7.0,12
B,1,5,4.0,9
B,1,6,6.0,11
B,1,7,6.0,11
B,1,8,8.0,13
B,1,9,6.0,11
B,1,10,8.0,13
B,1,11,7.0,12
B,1,12,7.0,12
B,1,13,8.0,13
B,1,14,8.0,13
B,1,15,8.0,13
B,1,16,8.0,13
B,1,17,8.0,13
B,1,18,4.0,9
B,1,19,6.0,11
B,1,20,6.0,11
B,1,21,2.0,7
B,1,22,7.0,12
B,1,23,7.0,12
C,0,0,7.0,12
C,0,1,7.0,10
C,0,2,7.0,8
C,0,3,7.0,8
C,0,4,7.0,12
C,0,5,2.0,7
C,0,6,7.0,12
C,0,7,6.0,11
C,0,8,7.0,12
C,0,9,5.0,10
C,0,10,8.0,13
C,0,11,8.0,13
C,0,12,7.0,12
C,0,13,7.0,12
C,0,14,8.0,13
C,0,15,7.0,12
C,0,16,6.0,11
C,0,17,6.0,11
C,0,18,5.0,10
C,0,19,7.0,12
C,0,20,7.0,12
C,0,21,6.0,11
C,0,22,2.0,7
C,0,23,7.0,12
C,1,0,6.0,11
C,1,1,6.0,10
C,1,2,6.0,8
C,1,3,6.0,8
C,1,4,6.0,11
C,1,5,4.0,9
C,1,6,6.0,11
C,1,7,6.0,11
C,1,8,6.0,11
C,1,9,7.0,12
C,1,10,8.0,13
C,1,11,7.0,12
C,1,12,8.0,13
C,1,13,7.0,12
C,1,14,7.0,12
C,1,15,6.0,11
C,1,16,6.0,11
C,1,17,6.0,11
C,1,18,7.0,12
C,1,19,6.0,11
C,1,20,6.0,11
C,1,21,7.0,12
C,1,22,1.0,6
C,1,23,6.0,11
D,0,0,3.0,8
D,0,1,3.0,8
D,0,2,3.0,7
D,0,3,3.0,8
D,0,4,3.0,8
D,0,5,5.0,10
D,0,6,7.0,12
D,0,7,10.0,15
D,0,8,7.0,12
D,0,9,7.0,12
D,0,10,9.0,14
D,0,11,7.0,12
D,0,12,8.0,13
D,0,13,8.0,13
D,0,14,7.0,12
D,0,15,7.0,12
D,0,16,8.0,13
D,0,17,8.0,13
D,0,18,7.0,12
D,0,19,8.0,13
D,0,20,6.0,11
D,0,21,5.0,10
D,0,22,4.0,9
D,0,23,5.0,10
D,1,0,3.0,8
D,1,1,3.0,8
D,1,2,3.0,7
D,1,3,3.0,8
D,1,4,3.0,8
D,1,5,5.0,10
D,1,6,6.0,11
D,1,7,6.0,11
D,1,8,10.0,15
D,1,9,8.0,13
D,1,10,8.0,13
D,1,11,7.0,12
D,1,12,8.0,13
D,1,13,7.0,12
D,1,14,8.0,13
D,1,15,7.0,12
D,1,16,9.0,14
D,1,17,8.0,13
D,1,18,7.0,12
D,1,19,7.0,12
D,1,20,6.0,11
D,1,21,7.0,12
D,1,22,5.0,10
D,1,23,4.0,9
E,0,0,5.0,10
E,0,1,3.0,8
E,0,2,3.0,7
E,0,3,3.0,7
E,0,4,3.0,8
E,0,5,4.0,9
E,0,6,6.0,11
E,0,7,12.0,18
E,0,8,15.0,22
E,0,9,11.0,16
E,0,10,11.0,16
E,0,11,10.0,15
E,0,12,9.0,14
E,0,13,8.0,13
E,0,14,10.0,15
E,0,15,10.0,15
E,0,16,13.0,19
E,0,17,14.0,21
E,0,18,12.0,18
E,0,19,12.0,18
E,0,20,11.0,16
E,0,21,8.0,13
E,0,22,7.0,12
E,0,23,5.0,10
E,1,0,3.0,8
E,1,1,3.0,8
E,1,2,3.0,7
E,1,3,3.0,7
E,1,4,3.0,8
E,1,5,6.0,11
E,1,6,10.0,15
E,1,7,15.0,22
E,1,8,13.0,19
E,1,9,10.0,15
E,1,10,10.0,15
E,1,11,10.0,15
E,1,12,8.0,13
E,1,13,9.0,14
E,1,14,10.0,15
E,1,15,13.0,19
E,1,16,14.0,21
E,1,17,12.0,18
E,1,18,12.0,18
E,1,19,12.0,18
E,1,20,9.0,14
E,1,21,6.0,11
E,1,22,6.0,11
E,1,23,5.0,10
F,0,0,3.0,8
F,0,1,3.0,8
F,0,2,3.0,8
F,0,3,3.0,8
F,0,4,4.0,9
F,0,5,5.0,10
F,0,6,9.0,14
F,0,7,10.0,15
F,0,8,12.0,18
F,0,9,9.0,14
F,0,10,9.0,14
F,0,11,9.0,14
F,0,12,9.0,14
F,0,13,9.0,14
F,0,14,9.0,14
F,0,15,12.0,18
