route_id,direction_id,hour,trip_count,avg_headway_min,min_headway_min
1,0,0,5,12.0,10.0
1,0,1,3,20.0,20.0
1,0,2,3,20.0,20.0
1,0,3,3,20.0,20.0
1,0,4,3,20.0,20.0
1,0,5,3,20.0,14.0
1,0,6,7,8.571428571428571,8.0
1,0,7,9,6.666666666666667,5.0
1,0,8,16,3.75,3.0
1,0,9,16,3.75,3.0
1,0,10,12,5.0,5.0
1,0,11,11,5.454545454545454,5.0
1,0,12,10,6.0,6.0
1,0,13,10,6.0,5.5
1,0,14,10,6.0,6.0
1,0,15,11,5.454545454545454,5.0
1,0,16,13,4.615384615384615,4.0
1,0,17,15,4.0,3.5
1,0,18,15,4.0,4.0
1,0,19,15,4.0,3.5
1,0,20,13,4.615384615384615,4.0
1,0,21,12,5.0,4.5
1,0,22,10,6.0,6.0
1,0,23,6,10.0,10.0
1,1,0,3,20.0,19.0
1,1,1,3,20.0,20.0
1,1,2,3,20.0,20.0
1,1,3,3,20.0,20.0
1,1,4,4,15.0,14.0
1,1,5,7,8.571428571428571,8.0
1,1,6,9,6.666666666666667,3.0
1,1,7,15,4.0,1.5
1,1,8,16,3.75,0.5
1,1,9,13,4.615384615384615,0.5
1,1,10,11,5.454545454545454,4.5
1,1,11,10,6.0,6.0
1,1,12,10,6.0,5.5
1,1,13,10,6.0,6.0
1,1,14,11,5.454545454545454,5.0
1,1,15,12,5.0,5.0
1,1,16,15,4.0,2.5
1,1,17,15,4.0,2.5
1,1,18,15,4.0,4.0
1,1,19,14,4.285714285714286,3.5
1,1,20,12,5.0,3.5
1,1,21,9,6.666666666666667,5.5
1,1,22,6,10.0,10.0
1,1,23,5,12.0,10.0
2,0,0,4,15.0,13.0
2,0,1,3,20.0,20.0
2,0,2,3,20.0,20.0
2,0,3,3,20.0,20.0
2,0,4,3,20.0,20.0
2,0,5,4,15.0,13.5
2,0,6,6,10.0,7.0
2,0,7,10,6.0,1.5
2,0,8,9,6.666666666666667,4.5
2,0,9,9,6.666666666666667,4.0
2,0,10,7,8.571428571428571,5.0
2,0,11,8,7.5,5.0
2,0,12,7,8.571428571428571,8.0
2,0,13,7,8.571428571428571,8.0
2,0,14,8,7.5,7.5
2,0,15,9,6.666666666666667,1.0
2,0,16,10,6.0,1.0
2,0,17,8,7.5,5.0
2,0,18,9,6.666666666666667,4.0
2,0,19,9,6.666666666666667,5.5
2,0,20,9,6.666666666666667,5.0
2,0,21,7,8.571428571428571,7.0
2,0,22,6,10.0,9.0
2,0,23,4,15.0,11.5
2,1,0,3,20.0,20.0
2,1,1,3,20.0,20.0
2,1,2,3,20.0,20.0
2,1,3,3,20.0,15.0
2,1,4,4,15.0,15.0
2,1,5,6,10.0,7.0
2,1,6,11,5.454545454545454,3.5
2,1,7,11,5.454545454545454,2.5
2,1,8,9,6.666666666666667,3.5
2,1,9,8,7.5,6.5
2,1,10,7,8.571428571428571,7.0
2,1,11,8,7.5,8.0
2,1,12,7,8.571428571428571,8.0
2,1,13,8,7.5,8.0
2,1,14,7,8.571428571428571,6.5
2,1,15,8,7.5,4.5
2,1,16,10,6.0,3.5
2,1,17,9,6.666666666666667,6.0
2,1,18,8,7.5,5.0
2,1,19,8,7.5,6.0
2,1,20,6,10.0,10.0
2,1,21,5,12.0,7.0
2,1,22,6,10.0,7.5
2,1,23,4,15.0,15.0
3,0,0,3,20.0,20.0
3,0,1,3,20.0,20.0
3,0,2,3,20.0,20.0
3,0,3,3,20.0,20.0
3,0,4,3,20.0,20.0
3,0,5,5,12.0,7.0
3,0,6,7,8.571428571428571,4.5
3,0,7,8,7.5,5.0
3,0,8,8,7.5,6.0
3,0,9,8,7.5,6.0
3,0,10,7,8.571428571428571,7.0
3,0,11,8,7.5,7.0
3,0,12,7,8.571428571428571,8.0
3,0,13,8,7.5,8.0
3,0,14,7,8.571428571428571,7.0
3,0,15,9,6.666666666666667,6.0
3,0,16,9,6.666666666666667,5.0
3,0,17,10,6.0,5.5
3,0,18,7,8.571428571428571,6.5
3,0,19,9,6.666666666666667,6.0
3,0,20,7,8.571428571428571,6.5
3,0,21,7,8.571428571428571,7.5
3,0,22,3,20.0,9.5
3,0,23,2,30.0,24.0
3,1,0,3,20.0,20.0
3,1,1,3,20.0,20.0
3,1,2,3,20.0,20.0
3,1,3,3,20.0,20.0
3,1,4,3,20.0,20.0
3,1,5,7,8.571428571428571,7.5
3,1,6,6,10.0,5.5
3,1,7,10,6.0,4.0
3,1,8,9,6.666666666666667,4.0
3,1,9,9,6.666666666666667,6.0
3,1,10,7,8.571428571428571,7.0
3,1,11,8,7.5,7.0
3,1,12,7,8.571428571428571,8.0
3,1,13,8,7.5,8.0
3,1,14,7,8.571428571428571,7.0
3,1,15,8,7.5,3.0
3,1,16,8,7.5,6.0
3,1,17,8,7.5,5.5
3,1,18,9,6.666666666666667,6.5
3,1,19,8,7.5,6.5
3,1,20,6,10.0,7.0
3,1,21,5,12.0,12.0
3,1,22,3,20.0,18.0
3,1,23,3,20.0,18.0
4,0,0,4,15.0,10.0
4,0,1,3,20.0,20.0
4,0,2,3,20.0,20.0
4,0,3,3,20.0,20.0
4,0,4,3,20.0,19.5
4,0,5,7,8.571428571428571,8.0
4,0,6,6,10.0,5.0
4,0,7,13,4.615384615384615,2.5
4,0,8,11,5.454545454545454,2.5
4,0,9,11,5.454545454545454,3.0
4,0,10,8,7.5,2.5
4,0,11,7,8.571428571428571,7.0
4,0,12,8,7.5,7.5
4,0,13,7,8.571428571428571,8.0
4,0,14,8,7.5,8.0
4,0,15,11,5.454545454545454,2.5
4,0,16,11,5.454545454545454,3.0
4,0,17,12,5.0,2.5
4,0,18,9,6.666666666666667,5.0
4,0,19,10,6.0,4.0
4,0,20,10,6.0,4.0
4,0,21,7,8.571428571428571,4.5
4,0,22,8,7.5,4.5
4,0,23,4,15.0,14.0
4,1,0,4,15.0,9.5
4,1,1,3,20.0,20.0
4,1,2,3,20.0,20.0
4,1,3,3,20.0,20.0
4,1,4,5,12.0,6.5
4,1,5,9,6.666666666666667,5.5
4,1,6,10,6.0,5.0
4,1,7,14,4.285714285714286,1.0
4,1,8,10,6.0,4.5
4,1,9,8,7.5,5.0
4,1,10,7,8.571428571428571,6.5
4,1,11,8,7.5,7.0
4,1,12,8,7.5,7.5
4,1,13,8,7.5,0.5
4,1,14,8,7.5,5.0
4,1,15,11,5.454545454545454,1.0
4,1,16,14,4.285714285714286,0.5
4,1,17,9,6.666666666666667,3.5
4,1,18,10,6.0,4.0
4,1,19,9,6.666666666666667,4.5
4,1,20,8,7.5,4.5
4,1,21,6,10.0,9.0
4,1,22,5,12.0,10.0
4,1,23,4,15.0,12.0
5,0,0,3,20.0,19.0
5,0,1,3,20.0,20.0
5,0,2,3,20.0,20.0
5,0,3,3,20.0,20.0
5,0,4,3,20.0,20.0
5,0,5,4,15.0,4.5
5,0,6,10,6.0,1.0
5,0,7,10,6.0,1.0
5,0,8,12,5.0,1.0
5,0,9,9,6.666666666666667,3.0
5,0,10,9,6.666666666666667,4.5
5,0,11,8,7.5,7.0
5,0,12,7,8.571428571428571,8.0
5,0,13,8,7.5,8.0
5,0,14,7,8.571428571428571,8.0
5,0,15,8,7.5,5.0
5,0,16,11,5.454545454545454,1.5
5,0,17,12,5.0,0.5
5,0,18,10,6.0,2.0
5,0,19,7,8.571428571428571,7.0
5,0,20,4,15.0,9.0
5,0,21,6,10.0,4.5
5,0,22,2,30.0,10.0
5,0,23,4,15.0,13.5
5,1,0,3,20.0,20.0
5,1,1,3,20.0,20.0
5,1,2,3,20.0,20.0
5,1,3,3,20.0,20.0
5,1,4,4,15.0,17.0
5,1,5,8,7.5,2.5
5,1,6,13,4.615384615384615,1.0
5,1,7,13,4.615384615384615,0.5
5,1,8,8,7.5,4.5
5,1,9,8,7.5,5.5
5,1,10,8,7.5,7.0
5,1,11,7,8.571428571428571,8.0
5,1,12,7,8.571428571428571,8.0
5,1,13,8,7.5,7.5
5,1,14,8,7.5,4.0
5,1,15,11,5.454545454545454,3.0
5,1,16,13,4.615384615384615,0.5
5,1,17,7,8.571428571428571,5.0
5,1,18,7,8.571428571428571,6.5
5,1,19,5,12.0,7.5
5,1,20,6,10.0,10.0
5,1,21,5,12.0,10.0
5,1,22,4,15.0,17.5
5,1,23,3,20.0,15.0
6,0,0,6,10.0,10.0
6,0,1,4,15.0,15.0
6,0,2,3,20.0,20.0
6,0,3,3,20.0,20.0
6,0,4,3,20.0,20.0
6,0,5,4,15.0,12.0
6,0,6,8,7.5,6.5
6,0,7,14,4.285714285714286,3.0
6,0,8,19,3.1578947368421053,3.0
6,0,9,18,3.3333333333333335,3.0
6,0,10,15,4.0,4.0
6,0,11,15,4.0,4.0
6,0,12,11,5.454545454545454,4.0
6,0,13,7,8.571428571428571,8.0
6,0,14,8,7.5,8.0
6,0,15,7,8.571428571428571,7.0
6,0,16,9,6.666666666666667,6.0
6,0,17,7,8.571428571428571,6.0
6,0,18,8,7.5,6.0
6,0,19,8,7.5,4.0
6,0,20,10,6.0,5.0
6,0,21,12,5.0,5.0
6,0,22,8,7.5,7.0
6,0,23,6,10.0,8.0
6,1,0,4,15.0,15.0
6,1,1,3,20.0,20.0
6,1,2,3,20.0,20.0
6,1,3,3,20.0,20.0
6,1,4,4,15.0,11.5
6,1,5,8,7.5,6.5
6,1,6,7,8.571428571428571,6.5
6,1,7,8,7.5,5.5
6,1,8,9,6.666666666666667,0.5
6,1,9,9,6.666666666666667,1.0
6,1,10,7,8.571428571428571,8.0
6,1,11,8,7.5,8.0
6,1,12,13,4.615384615384615,2.0
6,1,13,16,3.75,2.0
6,1,14,14,4.285714285714286,2.0
6,1,15,18,3.3333333333333335,0.5
6,1,16,18,3.3333333333333335,0.5
6,1,17,16,3.75,1.0
6,1,18,14,4.285714285714286,1.0
6,1,19,13,4.615384615384615,2.0
6,1,20,11,5.454545454545454,5.0
6,1,21,8,7.5,7.0
6,1,22,6,10.0,9.0
6,1,23,6,10.0,10.0
6X,0,12,4,15.0,8.0
6X,0,13,8,7.5,8.0
6X,0,14,7,8.571428571428571,8.0
6X,0,15,8,7.5,6.5
6X,0,16,8,7.5,6.0
6X,0,17,11,5.454545454545454,3.0
6X,0,18,8,7.5,3.5
6X,0,19,7,8.571428571428571,7.5
6X,0,20,2,30.0,9.0
6X,1,6,7,8.571428571428571,6.5
6X,1,7,11,5.454545454545454,4.0
6X,1,8,8,7.5,3.5
6X,1,9,7,8.571428571428571,6.5
6X,1,10,8,7.5,6.5
6X,1,11,7,8.571428571428571,8.0
6X,1,12,2,30.0,8.0
7,0,0,6,10.0,7.5
7,0,1,4,15.0,15.0
7,0,2,3,20.0,20.0
7,0,3,3,20.0,20.0
7,0,4,3,20.0,20.0
7,0,5,5,12.0,8.0
7,0,6,18,3.3333333333333335,2.0
7,0,7,25,2.4,2.0
7,0,8,28,2.142857142857143,2.0
7,0,9,16,3.75,3.0
7,0,10,12,5.0,5.0
7,0,11,12,5.0,5.0
7,0,12,12,5.0,5.0
7,0,13,12,5.0,5.0
7,0,14,10,6.0,5.0
7,0,15,8,7.5,8.0
7,0,16,10,6.0,5.5
7,0,17,13,4.615384615384615,4.0
7,0,18,9,6.666666666666667,6.0
7,0,19,10,6.0,6.0
7,0,20,7,8.571428571428571,6.5
7,0,21,9,6.666666666666667,5.0
7,0,22,12,5.0,5.0
7,0,23,9,6.666666666666667,6.0
7,1,0,3,20.0,14.0
7,1,1,3,20.0,20.0
7,1,2,3,20.0,20.0
7,1,3,3,20.0,20.0
7,1,4,5,12.0,11.5
7,1,5,9,6.666666666666667,4.0
7,1,6,13,4.615384615384615,0.5
7,1,7,14,4.285714285714286,0.5
7,1,8,12,5.0,1.0
7,1,9,8,7.5,4.5
7,1,10,12,5.0,5.0
7,1,11,12,5.0,5.0
7,1,12,12,5.0,5.0
7,1,13,12,5.0,5.0
7,1,14,12,5.0,5.0
7,1,15,15,4.0,2.0
7,1,16,22,2.727272727272727,0.5
7,1,17,24,2.5,1.0
7,1,18,19,3.1578947368421053,2.0
7,1,19,17,3.5294117647058822,2.5
7,1,20,17,3.5294117647058822,2.0
7,1,21,12,5.0,5.0
7,1,22,11,5.454545454545454,5.0
7,1,23,9,6.666666666666667,5.0
7X,0,14,2,30.0,10.0
7X,0,15,7,8.571428571428571,8.0
7X,0,16,10,6.0,6.0
7X,0,17,13,4.615384615384615,4.0
7X,0,18,10,6.0,6.0
7X,0,19,9,6.666666666666667,5.0
7X,0,20,8,7.5,8.0
7X,0,21,6,10.0,7.0
7X,1,6,9,6.666666666666667,4.5
7X,1,7,13,4.615384615384615,4.0
7X,1,8,13,4.615384615384615,2.5
7X,1,9,7,8.571428571428571,7.0
A,0,0,7,8.571428571428571,2.0
A,0,1,6,10.0,2.5
A,0,2,6,10.0,2.5
A,0,3,6,10.0,2.5
A,0,4,6,10.0,2.5
A,0,5,6,10.0,7.5
A,0,6,11,5.454545454545454,0.5
A,0,7,15,4.0,1.5
A,0,8,12,5.0,0.5
A,0,9,7,8.571428571428571,0.5
A,0,10,9,6.666666666666667,0.5
A,0,11,6,10.0,0.5
A,0,12,8,7.5,1.0
A,0,13,8,7.5,0.5
A,0,14,8,7.5,0.5
A,0,15,10,6.0,0.5
A,0,16,9,6.666666666666667,1.5
A,0,17,8,7.5,1.0
A,0,18,8,7.5,0.5
A,0,19,8,7.5,1.0
A,0,20,7,8.571428571428571,2.0
A,0,21,8,7.5,4.5
A,0,22,5,12.0,3.0
A,0,23,4,15.0,6.0
A,1,0,3,20.0,18.0
A,1,1,6,10.0,3.5
A,1,2,6,10.0,3.5
A,1,3,6,10.0,3.5
A,1,4,6,10.0,3.5
A,1,5,7,8.571428571428571,1.0
A,1,6,11,5.454545454545454,2.0
A,1,7,9,6.666666666666667,1.0
A,1,8,10,6.0,4.5
A,1,9,10,6.0,3.5
A,1,10,7,8.571428571428571,8.0
A,1,11,8,7.5,7.0
A,1,12,7,8.571428571428571,8.0
A,1,13,8,7.5,8.0
A,1,14,8,7.5,5.0
A,1,15,8,7.5,4.5
A,1,16,14,4.285714285714286,0.5
A,1,17,13,4.615384615384615,1.0
A,1,18,11,5.454545454545454,4.0
A,1,19,9,6.666666666666667,5.0
A,1,20,7,8.571428571428571,7.0
A,1,21,5,12.0,10.5
A,1,22,7,8.571428571428571,2.0
A,1,23,5,12.0,12.5
B,0,5,1,60.0,60.0
B,0,6,7,8.571428571428571,8.0
B,0,7,9,6.666666666666667,4.5
B,0,8,8,7.5,5.5
B,0,9,7,8.571428571428571,6.5
B,0,10,8,7.5,5.5
B,0,11,7,8.571428571428571,7.5
B,0,12,8,7.5,7.0
B,0,13,7,8.571428571428571,7.5
B,0,14,8,7.5,6.5
B,0,15,7,8.571428571428571,7.0
B,0,16,7,8.571428571428571,7.0
B,0,17,6,10.0,8.0
B,0,18,6,10.0,7.0
B,0,19,6,10.0,8.0
B,0,20,6,10.0,10.0
B,0,21,2,30.0,12.0
B,1,5,4,15.0,9.0
B,1,6,6,10.0,9.0
B,1,7,6,10.0,9.0
B,1,8,8,7.5,6.0
B,1,9,6,10.0,6.5
B,1,10,8,7.5,6.5
B,1,11,7,8.571428571428571,6.5
B,1,12,7,8.571428571428571,6.0
B,1,13,8,7.5,6.0
B,1,14,8,7.5,6.0
B,1,15,8,7.5,3.0
B,1,16,8,7.5,4.0
B,1,17,8,7.5,4.5
B,1,18,4,15.0,6.5
B,1,19,6,10.0,9.0
B,1,20,6,10.0,8.5
B,1,21,2,30.0,10.0
C,0,5,2,30.0,10.5
C,0,6,7,8.571428571428571,7.0
C,0,7,6,10.0,8.5
C,0,8,7,8.571428571428571,7.0
C,0,9,5,12.0,9.0
C,0,10,8,7.5,6.0
C,0,11,8,7.5,7.0
C,0,12,7,8.571428571428571,7.0
C,0,13,7,8.571428571428571,8.0
C,0,14,8,7.5,7.0
C,0,15,7,8.571428571428571,7.5
C,0,16,6,10.0,9.5
C,0,17,6,10.0,9.0
C,0,18,5,12.0,9.5
C,0,19,7,8.571428571428571,7.5
C,0,20,7,8.571428571428571,8.5
C,0,21,6,10.0,9.0
C,0,22,2,30.0,14.5
C,1,5,4,15.0,10.5
C,1,6,6,10.0,9.5
C,1,7,6,10.0,9.5
C,1,8,6,10.0,8.0
C,1,9,7,8.571428571428571,7.5
C,1,10,8,7.5,7.0
C,1,11,7,8.571428571428571,7.0
C,1,12,8,7.5,7.5
C,1,13,7,8.571428571428571,7.5
C,1,14,7,8.571428571428571,6.5
C,1,15,6,10.0,9.0
C,1,16,6,10.0,8.0
C,1,17,6,10.0,8.5
C,1,18,7,8.571428571428571,9.0
C,1,19,6,10.0,8.5
C,1,20,6,10.0,9.0
C,1,21,7,8.571428571428571,8.0
C,1,22,1,60.0,60.0
D,0,0,3,20.0,19.5
D,0,1,3,20.0,20.0
D,0,2,3,20.0,20.0
D,0,3,3,20.0,20.0
D,0,4,3,20.0,20.0
D,0,5,5,12.0,10.0
D,0,6,7,8.571428571428571,7.0
D,0,7,10,6.0,0.5
D,0,8,7,8.571428571428571,5.5
D,0,9,7,8.571428571428571,5.5
D,0,10,9,6.666666666666667,4.5
D,0,11,7,8.571428571428571,7.5
D,0,12,8,7.5,6.5
D,0,13,8,7.5,5.5
D,0,14,7,8.571428571428571,7.5
D,0,15,7,8.571428571428571,7.0
D,0,16,8,7.5,6.0
D,0,17,8,7.5,7.0
D,0,18,7,8.571428571428571,5.5
D,0,19,8,7.5,6.0
D,0,20,6,10.0,7.5
D,0,21,5,12.0,11.5
D,0,22,4,15.0,11.0
D,0,23,5,12.0,12.5
D,1,0,3,20.0,19.5
D,1,1,3,20.0,20.0
D,1,2,3,20.0,20.0
D,1,3,3,20.0,20.0
D,1,4,3,20.0,20.0
D,1,5,5,12.0,11.5
D,1,6,6,10.0,4.5
D,1,7,6,10.0,8.0
D,1,8,10,6.0,1.0
D,1,9,8,7.5,4.5
D,1,10,8,7.5,6.5
D,1,11,7,8.571428571428571,7.5
D,1,12,8,7.5,7.0
D,1,13,7,8.571428571428571,7.0
D,1,14,8,7.5,6.5
D,1,15,7,8.571428571428571,5.5
D,1,16,9,6.666666666666667,3.5
D,1,17,8,7.5,6.0
D,1,18,7,8.571428571428571,7.0
D,1,19,7,8.571428571428571,5.5
D,1,20,6,10.0,8.5
D,1,21,7,8.571428571428571,7.0
D,1,22,5,12.0,11.5
D,1,23,4,15.0,14.5
E,0,0,5,12.0,12.0
E,0,1,3,20.0,20.0
E,0,2,3,20.0,20.0
E,0,3,3,20.0,20.0
E,0,4,3,20.0,20.0
E,0,5,4,15.0,14.0
E,0,6,6,10.0,6.5
E,0,7,12,5.0,3.5
E,0,8,15,4.0,3.0
E,0,9,11,5.454545454545454,3.5
E,0,10,11,5.454545454545454,4.0
E,0,11,10,6.0,4.5
E,0,12,9,6.666666666666667,4.5
E,0,13,8,7.5,6.5
E,0,14,10,6.0,5.0
E,0,15,10,6.0,4.5
E,0,16,13,4.615384615384615,3.0
E,0,17,14,4.285714285714286,3.0
E,0,18,12,5.0,4.0
E,0,19,12,5.0,4.0
E,0,20,11,5.454545454545454,3.5
E,0,21,8,7.5,5.5
E,0,22,7,8.571428571428571,8.0
E,0,23,5,12.0,10.0
E,1,0,3,20.0,20.0
E,1,1,3,20.0,20.0
E,1,2,3,20.0,20.0
E,1,3,3,20.0,20.0
E,1,4,3,20.0,20.0
E,1,5,6,10.0,7.0
E,1,6,10,6.0,5.0
E,1,7,15,4.0,2.0
E,1,8,13,4.615384615384615,4.0
E,1,9,10,6.0,3.5
E,1,10,10,6.0,6.0
E,1,11,10,6.0,5.5
E,1,12,8,7.5,6.5
E,1,13,9,6.666666666666667,6.0
E,1,14,10,6.0,4.0
E,1,15,13,4.615384615384615,3.0
E,1,16,14,4.285714285714286,2.5
E,1,17,12,5.0,3.0
E,1,18,12,5.0,5.0
